Index,Minute,Team,Player,Position,Type,Shot outcome,Origin_Xcoord,Origin_Ycoord,Destination_Xcoord,Destination_Ycoord,Pass_Recipient
1918,48,France,Hugo Lloris,Goalkeeper,Pass,,12,39.7,30.6,31.4,Antoine Griezmann
1920,48,France,Antoine Griezmann,Center Attacking Midfield,Pass,,30.6,31.4,30.2,6.8,Theo Bernard François Hernández
1927,49,France,Theo Bernard François Hernández,Left Back,Pass,,48.2,8.3,43.1,13.2,Antoine Griezmann
1929,49,France,Antoine Griezmann,Center Attacking Midfield,Pass,,43.1,13.2,56.3,3.4,Kylian Mbappé Lottin
1942,49,France,Antoine Griezmann,Center Attacking Midfield,Pass,,73.6,22,77.5,35.4,Jules Koundé
1948,49,Argentina,Damián Emiliano Martínez,Goalkeeper,Pass,,2.8,56.6,20.8,74.6,Nahuel Molina Lucero
1951,49,Argentina,Nahuel Molina Lucero,Right Back,Pass,,35.1,74.4,97.2,68.2,Julián Álvarez
1953,49,France,Dayotchanculle Upamecano,Left Center Back,Pass,,22.9,11.9,7.8,28.2,Hugo Lloris
1956,49,France,Hugo Lloris,Goalkeeper,Pass,,7.8,28.2,47.5,22.2,Adrien Rabiot
1958,49,France,Adrien Rabiot,Left Defensive Midfield,Pass,,47.5,22.2,55,22.6,Antoine Griezmann
1961,49,France,Antoine Griezmann,Center Attacking Midfield,Pass,,55,22.6,66.6,13.4,Kylian Mbappé Lottin
1963,49,Argentina,Nahuel Molina Lucero,Right Back,Pass,,53.5,66.7,65.1,64.6,Rodrigo Javier De Paul
1966,49,France,Antoine Griezmann,Center Attacking Midfield,Pass,,55,15.5,54.4,20.7,Adrien Rabiot
1969,49,France,Adrien Rabiot,Left Defensive Midfield,Pass,,55.7,16,65.3,7,Kylian Mbappé Lottin
1972,49,France,Theo Bernard François Hernández,Left Back,Pass,,69.8,0.1,51.8,11.1,Marcus Thuram
1975,50,Argentina,Nahuel Molina Lucero,Right Back,Pass,,67.6,80,75.1,75.2,Lionel Andrés Messi Cuccittini
1978,50,Argentina,Lionel Andrés Messi Cuccittini,Right Wing,Pass,,77.5,74.6,63.4,77.8,Nahuel Molina Lucero
1982,50,Argentina,Nahuel Molina Lucero,Right Back,Pass,,61.6,77.2,15.2,55.4,Damián Emiliano Martínez
1984,50,Argentina,Damián Emiliano Martínez,Goalkeeper,Pass,,15,54.3,25.5,25.4,Nicolás Hernán Otamendi
1987,50,Argentina,Nicolás Hernán Otamendi,Left Center Back,Pass,,31.3,22.8,44.7,5.7,Nicolás Alejandro Tagliafico
1991,50,Argentina,Nicolás Alejandro Tagliafico,Left Back,Pass,,44.7,6.4,62.5,12.8,Alexis Mac Allister
1995,50,Argentina,Alexis Mac Allister,Left Center Midfield,Pass,,62.5,13,60.8,13.4,Nicolás Alejandro Tagliafico
2003,50,Argentina,Alexis Mac Allister,Left Center Midfield,Pass,,43,6.8,33.4,9.6,Nicolás Hernán Otamendi
2008,50,France,Randal Kolo Muani,Right Wing,Pass,,86.5,67.7,96.5,60,Kylian Mbappé Lottin
2014,51,France,Antoine Griezmann,Center Attacking Midfield,Pass,,120,80,112.6,36.9,
2017,51,Argentina,Damián Emiliano Martínez,Goalkeeper,Pass,,15.4,46.2,36,75.7,Ángel Fabián Di María Hernández
2020,51,Argentina,Ángel Fabián Di María Hernández,Left Wing,Pass,,70.6,65.8,92.4,60.7,Lionel Andrés Messi Cuccittini
2023,51,Argentina,Lionel Andrés Messi Cuccittini,Right Wing,Pass,,92.4,60.9,111.9,70.1,Rodrigo Javier De Paul
2029,51,Argentina,Nahuel Molina Lucero,Right Back,Pass,,110.8,80,107.4,72.5,Rodrigo Javier De Paul
2032,51,Argentina,Rodrigo Javier De Paul,Right Center Midfield,Pass,,108.5,71.6,112.3,78,Nahuel Molina Lucero
2036,51,Argentina,Nahuel Molina Lucero,Right Back,Pass,,112.8,77,113.8,73.1,
2038,52,Argentina,Lionel Andrés Messi Cuccittini,Right Wing,Pass,,120,80,117.9,49.8,
2040,53,Argentina,Nahuel Molina Lucero,Right Back,Pass,,106.4,80,113,66.9,Julián Álvarez
2044,53,Argentina,Julián Álvarez,Center Forward,Pass,,114.1,71,108.9,74.6,
2050,53,France,Marcus Thuram,Left Wing,Pass,,5.2,7,62.1,17.9,
